banglatalk,indic,whisper
0.9667,0.8929,0.7857
1.0,0.9714,0.7143
0.9667,1.0,0.973
1.0,1.0,0.9412
0.9833,0.9722,0.9722
0.9833,1.0,0.9512
1.0,0.9649,0.8421
1.0,0.9677,0.9032
0.9833,0.9375,0.9375
0.9833,0.9423,0.7692
1.0,0.9792,0.9167
1.0,0.9412,0.8824
0.9833,0.9804,0.9412
0.9848,0.9545,0.8788
1.0,1.0,0.9744
0.9667,0.975,0.9
0.9833,0.9615,0.9429
0.9833,0.92,0.96
1.0,1.0,0.85
1.0,0.9091,0.75
1.0,0.963,0.963
0.9667,1.0,0.9062
1.0,0.9444,0.8182
0.9833,1.0,1.0
0.9667,0.9773,0.8636
0.9833,1.0,1.0
1.0,1.0,1.0
1.0,1.0,0.9643
0.9833,1.0,0.9714
0.9833,0.9677,0.8065
0.9667,0.9231,0.8077
1.0,0.9211,0.8947
1.0,0.9688,0.9375
0.9833,0.9655,0.9655
0.9833,0.9778,0.9778
0.9833,1.0,0.8837
0.9833,0.9667,0.9333
0.9833,1.0,1.0
0.9667,0.9583,0.9583
1.0,0.9487,0.8974
0.9667,0.9744,0.9487
0.9667,1.0,0.8649
0.9833,1.0,0.9583
0.9667,0.9714,0.8286
0.9667,0.9688,0.8125
0.9833,1.0,0.871
0.9667,0.973,0.9459
0.9833,0.9783,0.9348
0.9833,0.9787,0.9149
0.9833,0.9706,0.9118
1.0,0.9412,0.902
1.0,1.0,0.9394
0.9855,0.913,0.6812
0.95,0.9667,0.6
0.9833,0.375,0.3125
0.9667,0.4615,0.4103
0.9833,0.5686,0.4118
0.9833,0.5833,0.25
0.95,0.55,0.35
0.9667,0.4889,0.2889
0.9667,0.5135,0.4324
1.0,0.5714,0.4082
0.9833,0.4909,0.3962
0.9667,0.5357,0.2857
0.9833,0.5714,0.3878
1.0,0.6071,0.375
0.9833,0.5294,0.3333
0.9667,0.575,0.525
0.95,0.5952,0.5238
0.9667,0.5472,0.3585
0.9667,0.5918,0.3673
0.9833,0.5,0.463
0.9667,0.5,0.3421
1.0,0.5849,0.4906
0.9833,0.5,0.4118
0.9833,0.5686,0.451
